Text 1	Text 2	Category
אול	the body | Nouns: אֵל strength; אַיִל strength; אֵלָה oak; אַיָּל stag	Freq100plus
אדון	sovereign | Nouns: אֲדֹנָי Lord; אֶדֶן basis; אַדּוֹן Addon	Freq100plus
משה	pull out | Nouns: שֵׁשׁ bleached; מֶשִׁי silk; שַׁיִשׁ white	Freq100plus
אדם	show blood | Stems: Qal (1), Hiphil (1), Pual (7), Hithpael (1) | Nouns: אָדָם ruddy; אֲדָמָה soil; אָדֹם rosy; אֲדַמְדָּם reddish	Freq100plus
נשא	lift | Stems: Qal (547), Niphal (33), Hiphil (2), Piel (7), Hithpael (8) | Nouns: מַשָּׂא burden; מַשְׂאֵת raising; שְׂאֵת elevation; מַשֹּׂא partiality	Freq100plus
לחם	feed on | Stems: Qal (9), Niphal (161) | Nouns: מִלְחָמָה battle; לֶחֶם food; לָחֶם battle	Freq100plus
חוה	live | Stems: Qal (201), Hiphil (25), Piel (32) | Nouns: חַי alive; חִוִּי Chivvite; מִחְיָה preservation of life; חַוָּה village	Freq100plus
כהן	officiate | Stems: Piel (20) | Nouns: כֹּהֵן officiating; כְּהֻנָּה priesthood; כָּהֵן priest.	Freq100plus
אחד	unify | Stems: Hithpael (1) | Nouns: אֶחָד united; חַד one	Freq100plus
חול	twist | Stems: Qal (71), Niphal (19), Hiphil (63), Hophal (5), Piel (78), Pual (9), Hithpael (7) | Nouns: חַיִל force; חָלָל pierced; חֳלִי malady; חוֹל sand	Freq100plus
דרך	tread | Stems: Qal (47), Hiphil (3) | Nouns: דֶּרֶךְ road; מִדְרָךְ treading	Freq100plus
עשר	ten | Nouns: עָשָׂר ten; עֶשְׂרִים twenty; עֲשִׂירִי tenth	Freq100plus
גם	assemblage | Nouns: מְגַמָּה accumulation	Freq100plus
אל	these | Nouns: אֵלֶּה these; אֲלוּ lo!; אֲרוּ lo!	Freq100plus
נפש	breathe | Stems: Niphal (3) | Nouns: נֶפֶשׁ breathing creature	Freq100plus
עבר	cross | Stems: Qal (442), Niphal (1), Hiphil (64), Piel (2), Hithpael (7) | Nouns: עֵבֶר across; עֶבְרָה outburst; עֲבַר beyond, this side.; עֲבָרָה crossing-place	Freq100plus
שנה	fold | Stems: Qal (12), Niphal (1), Piel (5), Hithpael (1) | Nouns: שְׁנַיִם two; שֵׁנִי double; מִשְׁנֶה repetition	Freq100plus
מצור	hemming in | Nouns: מִצְרִי Mitsrite	Freq100plus
שמר	hedge | Stems: Qal (384), Niphal (37), Piel (1), Hithpael (2) | Nouns: מִשְׁמֶרֶת watch; מִשְׁמָר guard; שָׁמִיר thorn; שֶׁמֶר preserved	Freq100plus
קום	rise | Stems: Qal (423), Hiphil (132), Hophal (3), Piel (14), Hithpael (2) | Nouns: קוֹמָה height; קָמָה rises; יְקוּם standing; קוֹמְמִיּוּת elevation	Freq100plus
זבח	slaughter | Stems: Qal (106), Piel (22) | Nouns: מִזְבֵּחַ altar; זֶבַח slaughter; מַדְבַּח sacrificial altar	Freq100plus
חנן	bend | Stems: Qal (157), Hophal (2), Piel (4), Hithpael (16), M (1) | Nouns: מַחֲנֶה encampment; חֵן graciousness; חֲנִית lance; חִנָּם gratis	Freq100plus
קדש	be | Stems: Qal (10), Niphal (9), Hiphil (40), Piel (51), Pual (4), Hithpael (24) | Nouns: קֹדֶשׁ sacred; קְדֵשָׁה female devotee; קָדֵשׁ sacred person	Freq100plus
צוה	constitute | Stems: Piel (363), Pual (9) | Nouns: מִצְוָה command; צִי ship	Freq100plus
ראש	head | Nouns: רֵאשִׁית first; רֵאשׁ head; מְרַאֲשָׁה headpiece; מַרְאָשָׁה headship	Freq100plus
רבב	cast together | Stems: Qal (21), Pual (1) | Nouns: רַב abundant; רֹב abundance; רַבְשָׁקֵה Rabshakeh; רְבָבָה abundance	Freq100plus
שפט	judge | Stems: Qal (144), Niphal (15) | Nouns: מִשְׁפָּט verdict; שֶׁפֶט sentence; תִּפְתַּי judicial	Freq100plus
שבע	seven | Stems: Niphal (149), Hiphil (18) | Nouns: שִׁבְעִים seventy; שְׁבוּעָה sworn; שִׁבְעָתַיִם seven-times; שִׁבְעָנָה seven	Freq100plus
ילד	bear young | Stems: Qal (211), Niphal (36), Hiphil (158), Hophal (3), Piel (9), Pual (27), Hithpael (1) | Nouns: יֶלֶד something born; מוֹלֶדֶת nativity; יָלִיד born; יַלְדָּה lass	Freq100plus
רעע	spoil | Stems: Qal (36), Niphal (2), Hiphil (68), Hithpael (2) | Nouns: רַע bad; רֹעַ badness; בְּרִיעִי Beriite; מֵרַע wickedness	Freq100plus
כלה	end | Stems: Qal (63), Piel (98), Pual (1) | Nouns: כְּלִי prepared; כִּלְיָה kidney; כָּלָה completion; תַּכְלִית completion	Freq100plus
מים	water	Freq100plus
שאל	inquire | Stems: Qal (138), Niphal (5), Piel (2) | Nouns: מִשְׁאָלָה request; שְׁאֵלָא question	Freq100plus
הרר	mountain | Nouns: הַר mountain; יָהִיר elated; הַרְאֵל mount of God	Freq100plus
ירד	descend | Stems: Qal (299), Hiphil (43), Hophal (6) | Nouns: מוֹרָד descent	Freq100plus
שכב	lie down | Stems: Qal (292), Niphal (2), Hiphil (9), Hophal (2), Piel (12), Pual (1) | Nouns: מִשְׁכָּן residence; מִשְׁכָּב bed; שָׁכֵן resident; שְׁכָבָה lying	Freq100plus
גוי	nation	Freq100plus
הם	they	Freq100plus
חרב	parch | Stems: Qal (19), Niphal (3), Hiphil (12), Hophal (3), Pual (2) | Nouns: חֶרֶב drought; חׇרְבָּה drought; חֹרֶב drought; חָרָבָה desert	Freq100plus
שלום	safe | Nouns: שְׁלָם prosperity	Freq100plus
פאה	puff | Nouns: פֶּה mouth; פֻּם mouth	Freq100plus
עמד	stand | Stems: Qal (421), Hiphil (62), Hophal (2) | Nouns: עֹמֶד spot; מַעֲמָד position; מׇעֳמָד foothold; עֶמְדָּה station	Freq100plus
צדק	be | Stems: Qal (22), Niphal (1), Hiphil (10), Piel (2), Hithpael (1) | Nouns: צַדִּיק just; צְדָקָה rightness; צֶדֶק right; צִדְקָה beneficence	Freq100plus
קרב	approach | Stems: Qal (86), Niphal (2), Hiphil (159), Piel (8) | Nouns: קֶרֶב nearest; קְרָב hostile encounter; קְרָבָה approach; קָרֵב near	Freq100plus
מאה	hundred | Nouns: מֵאָה Meah	Freq100plus
קול	voice | Nouns: קָל sound, voice.	Freq100plus
נכה	strike | Stems: Niphal (1), Hiphil (336), Hophal (16), Pual (2) | Nouns: נֵכֶה smiter	Freq100plus
אלף	learn | Stems: Qal (1), Hiphil (1), Piel (1) | Nouns: אֶלֶף thousand; אֶלֶף family	Freq100plus
ימין	right | Stems: Qal (6), Niphal (47), Hiphil (56), Hophal (1) | Nouns: אֶמֶת stability; אָמֵן sure; אׇמְנָם verily; אֵמוּן established	Freq100plus
שרר	have | Stems: Qal (3), Hithpael (2) | Nouns: שַׂר head; שָׂרָה mistress	Freq100plus
צבא	mass	Freq100plus
בין	separate | Stems: Qal (61), Niphal (21), Hiphil (52), Hithpael (22) | Nouns: בֵּין between; בִּינָה understanding; בֵּנַיִם a double interval; בֵּין among, between.	Freq100plus
אם	mother | Nouns: אַמָּה a mother; אֻמַּה collection; אֻמָּה nation.	Freq100plus
נגד	front | Stems: Hiphil (317), Hophal (35) | Nouns: נֶגֶד front	Freq100plus
ברך	kneel | Stems: Qal (73), Niphal (3), Hiphil (1), Piel (148), Pual (12), Hithpael (7) | Nouns: בְּרָכָה benediction; בֶּרֶךְ knee; בְּרֵכָה reservoir; בֶּרֶךְ knee.	Freq100plus
טוב	be | Stems: Qal (40), Hiphil (3) | Nouns: טוֹב good; טוּב good	Freq100plus
רוח	blow | Stems: Qal (2), Hiphil (7), Pual (1) | Nouns: רוּחַ wind; רֵיחַ odor; רוּחַ mind, spirit, wind.; רֶוַח room	Freq100plus
שמים	sky | Nouns: שָׁמַיִן heaven.	Freq100plus
מצא	come | Stems: Qal (242), Niphal (134), Hiphil (6)	Freq100plus
עולם	concealed | Nouns: עָלַם remote time; עֵילוֹם ever.	Freq100plus
אש	fire | Nouns: אִשָּׁה burnt-offering; אֲשִׁישָׁה closely pressed together; אַתּוּן fire-place; אִשׁ entity	Freq100plus
נפל	fall | Stems: Qal (364), Hiphil (50), Piel (1), Hithpael (5) | Nouns: מַפֶּלֶת fall; מַפָּל falling off	Freq100plus
נבא	prophesy | Stems: Niphal (83), Hithpael (28), M (1) | Nouns: נָבִיא prophet; נְבִיאָה prophetess; נְבִיא prophet; נְבוּאָה prediction	Freq100plus
עוד	iteration	Freq100plus
יסף	add | Stems: Qal (32), Niphal (6), Hiphil (169)	Freq100plus
ירא	fear | Stems: Qal (249), Niphal (44), Piel (2) | Nouns: יָרֵא fearing; יִרְאָה fear	Freq100plus
כסף	become pale | Stems: Qal (2), Niphal (4) | Nouns: כֶּסֶף silver; כְּסַף money, silver.	Freq100plus
תוך	bisection	Freq100plus
בקר	plough | Stems: Piel (9) | Nouns: בֹּקֶר dawn; בָּקָר beeve; בּוֹקֵר cattle-tender; בַּקָּרָה looking after	Freq100plus
זהב	gold | Nouns: דְּהַב gold; מַדְהֵבָה goldmaking	Freq100plus
נא	'I pray'	Freq100plus
שלוש	three | Stems: Piel (4), Pual (5) | Nouns: שְׁלִישִׁי third; שִׁלֵּשׁ third	Freq100plus
דוח	thrust | Stems: Qal (23), Niphal (6), Hiphil (3), Piel (1) | Nouns: דָּם blood; דּוּמָם still; דְּמָמָה quiet	Freq100plus
מקום	standing	Freq100plus
ים	sea | Nouns: יָם sea.	Freq100plus
עקב	heel | Stems: Qal (3) | Nouns: עֵקֶב heel; עָקֹב fraudulent; עׇקְבָה trickery	Freq100plus
שפה	abrade | Stems: Niphal (1), Pual (1) | Nouns: מִשְׁפָּחָה family; שִׁפְחָה female slave; שְׁפִי bareness; מִשְׁפָּת stall	Freq100plus
מלאך	messenger | Nouns: מְלָאכָה deputyship; מַלְאַךְ angel; מַלְאֲכוּת message	Freq100plus
שער	act as gatekeeper | Stems: Qal (1) | Nouns: שַׁעַר opening; תְּרַע door; שַׁעַר measure; תָּרָע doorkeeper	Freq100plus
חמש	five | Stems: Piel (1) | Nouns: חֲמִשִּׁים fifty; חֹמֶשׁ fifth tax	Freq100plus
נאם	whisper | Stems: Qal (1) | Nouns: נְאֻם oracle	Freq100plus
אהל	be clear | Stems: Qal (2), Hiphil (1), Piel (1) | Nouns: אֹהֶל tent; אׇהֳלִיבָמָה Oholibamah	Freq100plus
פקד	visit | Stems: Qal (164), Niphal (21), Hiphil (25), Hophal (8), Piel (1), Pual (2), Hithpael (4), u (4) | Nouns: פְּקֻדָּה visitation; פָּקִיד superintendent; מִפְקָד an appointment; פִּקָּדוֹן deposit	Freq100plus
פתח	open wide | Stems: Qal (93), Niphal (18), Piel (25), Pual (1), Hithpael (1) | Nouns: פֶּתַח opening; מַפְתֵּחַ opener; פִּתְחוֹן opening; מִפְתָּח aperture	Freq100plus
עוד	duplicate | Stems: Hiphil (34), Hophal (1), Piel (2), Hithpael (1) | Nouns: עֵדָה assemblage; עֵד witness; עֵדוּת testimony; עֵדָה testimony	Freq100plus
בלה	fail | Stems: Qal (10), Piel (3) | Nouns: בִּלְתִּי failure of; בַּל failure; בְּלִי failure; בְּלִיַּעַל without profit	Freq100plus
עצה	fasten | Stems: Qal (1) | Nouns: עֵץ tree; אָע tree; עָצֶה spine; עֵצָה timber	Freq100plus
חזק	fasten | Stems: Qal (80), Hiphil (110), Piel (51), Hithpael (27) | Nouns: חָזָק strong; חֹזֶק power; חׇזְקָה vehemence; חֶזְקָה power	Freq100plus
זכר	mark | Stems: Qal (146), Niphal (19), Hiphil (36) | Nouns: זָכָר remembered; זִכְרוֹן memento; אַזְכָּרָה reminder; זָכוּר male	Freq100plus
שדה	field | Nouns: שְׁדֵמָה field	Freq100plus
רשע	be | Stems: Qal (9), Hiphil (18) | Nouns: רָשָׁע wrong; רֶשַׁע wrong; רִשְׁעָה wrong; מִרְשַׁעַת female wicked doer	Freq100plus
גדול	great	Freq100plus
חדש	be new | Stems: Piel (9), Hithpael (1) | Nouns: חֹדֶשׁ new; חָדָשׁ new	Freq100plus
ארבע	four | Nouns: אַרְבָּעִים forty; אַרְבַּעְתַּיִם fourfold	Freq100plus
גלל	roll | Stems: Qal (10), Niphal (2), Piel (1), Pual (1), Hithpael (3) | Nouns: גַּל rolled; מְגִלָּה roll; גֻּלָּה fountain; גֻּלְגֹּלֶת skull	Freq100plus
זרע	sow | Stems: Qal (42), Niphal (6), Hiphil (3), Pual (1) | Nouns: זֶרַע seed; יִזְרְעֵאלִי Jizreelite; זֵרוּעַ sown; זְרַע posterity	Freq100plus
סביב	circle	Freq100plus
נער	growl | Stems: Qal (5), Niphal (3), Piel (3), Hithpael (1) | Nouns: נַעַר boy; נַעֲרָה girl; נֹעַר boyhood; נְעֹרֶת shaken	Freq100plus
רום	be high | Stems: Qal (64), Hiphil (81), Hophal (3), Piel (12), Pual (2), Hithpael (2) | Nouns: מָרוֹם altitude; רוּם altitude; רָמָה height; רוֹם elevation	Freq100plus
מלא	fill | Stems: Qal (99), Niphal (35), Piel (101), Pual (1) | Nouns: מָלֵא full; מִלֻּא fulfilling; מְלֵאָה fulfilled; מִלֻּאָה filling	Freq100plus
חצר	trumpet | Stems: Hiphil (5), Piel (1) | Nouns: חָצֵר yard; חֲצֹצְרָה trumpet; חָצִיר grass; חֶצְרוֹנִי Chetsronite	Freq100plus
אוד	poker | Nouns: מְאֹד vehemence; אֵיד oppression; אֵד fog	Freq100plus
או	desire	Freq100plus
בר	grain | Stems: Qal (3), Hiphil (1) | Nouns: בְּרִית compact; בַּר field; בִּרְיָה food; בַּרְבֻּר fowl	Freq100plus
ספר	score | Stems: Qal (25), Niphal (8), Piel (62), Pual (5) | Nouns: מִסְפָּר number; סַפִּיר gem; סָפֵר scribe; סְפַר book	Freq100plus
בלל	overflow | Stems: Qal (42), Hithpael (1) | Nouns: בְּלִיל mixed; תֶּבֶל mixture; בַּבְלִי Babylonian; תְּבַּלֻּל cataract	Freq100plus
ישע	be open | Stems: Niphal (20), Hiphil (98) | Nouns: יְשׁוּעָה saved; מוֹשָׁעָה deliverance	Freq100plus
סור	turn | Stems: Qal (156), Hiphil (118), Hophal (5), Piel (1) | Nouns: סָרָה apostasy; סוּר turned off; סוּר Sur	Freq100plus
יכל	be able | Stems: Qal (191) | Nouns: הֵיכָל palace; הֵיכַל palace, temple.; מִיכָל container	Freq100plus
כרת	cut | Stems: Qal (128), Niphal (71), Hiphil (71), Hophal (1), Pual (2) | Nouns: כְּרֵתִי Kerethite; כְּרִיתוּת cutting; כָּרֻתָה cut; כְּרִית Kerith	Freq100plus
חכם	be wise | Stems: Qal (19), Hiphil (1), Piel (1), Pual (2), Hithpael (2) | Nouns: חׇכְמָה wisdom; חָכָם wise; חׇכְמָה wisdom; חַכִּים wise	Freq100plus
פלש	roll | Stems: Hithpael (4) | Nouns: פְּלִשְׁתִּי Pelishtite; פְּלֶשֶׁת Pelesheth	Freq100plus
בשר	be fresh | Stems: Piel (23), Hithpael (1) | Nouns: בָּשָׂר flesh; בְּשׂוֹר Besor; בְּשַׁר flesh.	Freq100plus
רגל	foot | Stems: Qal (1), Piel (23), Tiphil (1) | Nouns: רַגְלִי footman; רְגַל foot.; מַרְגְלָה footpiece	Freq100plus
אנף	breathe | Stems: Qal (8), Hithpael (6) | Nouns: אַף nose; אֲנַף face; אֲנָפָה unclean bird	Freq100plus
חטאה	offence	Freq100plus
חטא	miss | Stems: Qal (178), Hiphil (31), Piel (11), Hithpael (9) | Nouns: חֵטְא crime; חַטָּא criminal; חֲטָאָה offence; חַטָּאָה an offence	Freq100plus
לויי	Levite	Freq100plus
חסד	bow | Stems: Hithpael (2) | Nouns: חֶסֶד kindness; חָסִיד kind; חֲסִידָה kind	Freq100plus
עלה	step | Nouns: עֲלָה holocaust	Freq100plus
יתר	jut | Stems: Niphal (82), Hiphil (22) | Nouns: יֶתֶר overhanging; יֹתֶרֶת lobe; יִתְרוֹן preeminence; יוֹתֵר redundant	Freq100plus
ירש	occupy | Stems: Qal (102), Niphal (4), Hiphil (45), Piel (1) | Nouns: רֶשֶׁת net; יְרֻשָּׁה occupied; מוֹרָשָׁה possession; מוֹרָשׁ possession	Freq100plus
פנה	turn | Stems: Qal (115), Hiphil (7), Hophal (2), Piel (8) | Nouns: פֵּן removal	Freq100plus
איב	hating	Freq100plus
נחל	inherit | Stems: Qal (27), Hiphil (12), Hophal (1), Piel (4), Hithpael (6) | Nouns: נַחֲלָה inherited	Freq100plus
בעל	master | Stems: Qal (9), Niphal (2) | Nouns: בַּעֲלָה mistress; בַּעֲלִי Baali	Freq100plus
צאן	flock	Freq100plus
אסף	gather | Stems: Qal (89), Niphal (80), Piel (6), Pual (5), Hithpael (1) | Nouns: אָפִיק containing; אָסֻף collected; אֹסֶף collection; אֲסֵפָה collection	Freq100plus
פרעה	Paroh	Freq100plus
רבה	increase | Stems: Qal (57), Hiphil (152), Piel (4) | Nouns: אַרְבֶּה locust; תַּרְבִּית multiplication; מַרְבִּית multitude; רְבוּ increase	Freq100plus
בגד	cover | Stems: Qal (48) | Nouns: בֶּגֶד covering; בָּגוֹד treacherous; בֹּגְדוֹת treacheries	Freq100plus
שלם	be safe | Stems: Qal (7), Hiphil (11), Hophal (1), Piel (81), Pual (5) | Nouns: שֶׁלֶם requital; שָׁלֵם complete; שׁוּלַמִּית peaceful; שִׁלֵּם requital	Freq100plus
שתה	imbibe | Stems: Qal (209), Niphal (1) | Nouns: מִשְׁתֶּה drink; מִשְׁתֶּה banquet; שְׁתִי intoxicaion; שְׁתִיָּה potation	Freq100plus
רעה	tend | Stems: Qal (150), Piel (1), Hithpael (1) | Nouns: מִרְעֶה pasture; מִרְעִית pasturage; מֵרֵעַ friend; רְעוּת feeding	Freq100plus
שאר	swell | Stems: Qal (1), Niphal (94), Hiphil (38) | Nouns: שְׁאֵרִית remainder; שְׁאָר remainder; שְׁאֵר flesh; שְׁאָר × whatsoever more, residue, rest.	Freq100plus
שמח	brighten | Stems: Qal (125), Hiphil (1), Piel (17) | Nouns: שִׂמְחָה blithesomeness; שָׂמֵחַ blithe	Freq100plus
רכב	ride | Stems: Qal (49), Hiphil (12) | Nouns: רֶכֶב vehicle; מֶרְכָּבָה chariot; מֶרְכָּב chariot; רַכָּב charioteer	Freq100plus
טמא	be foul | Stems: Qal (77), Niphal (19), Piel (39), Pual (1), Hithpael (14), u (1) | Nouns: טָמֵא foul; טֻמְאָה impurity	Freq100plus
כתב	grave | Stems: Qal (193), Niphal (16), Piel (2) | Nouns: כָּתָב written; כְּתָב prescribing, writing(-ten).; מִכְתָּב written; כְּתֹבֶת letter	Freq100plus
זוד	seethe | Stems: Qal (11), Niphal (4), Hiphil (8), Piel (1), Pual (1) | Nouns: חֵצִי half; חֵץ piercer; מַחֲצִית halving; זֵד arrogant	Freq100plus
ערב	braid | Stems: Qal (22), Hiphil (1), Hithpael (7) | Nouns: עֶרֶב dusk; עֲרָבָה desert; מַעֲרָב traffic; עָרֹב mosquito	Freq100plus
דין	rule | Stems: Qal (21), Niphal (1) | Nouns: מְדִינָה judgeship; מָדוֹן contest; מִדְיָן brawling, contention(-ous).; מְדִינָה province.	Freq100plus
קנה	erect | Stems: Qal (73), Niphal (2) | Nouns: מִקְנֶה bought; קָנֶה reed; מִקְנָה buying; קִנְיָן creation	Freq100plus
אזן	broaden out the ear | Stems: Hiphil (25), Piel (1) | Nouns: אֹזֶן broadness; מֹאזֵן scales; אָזֵן spade; מֹאזֵן balances.	Freq100plus
גבול	cord | Stems: Qal (3), Hiphil (2) | Nouns: גִּבְלִי Gebalite; גַּבְלֻת chain; מִגְבָּלָה border	Freq100plus
