#separator:tab
#html:true
#notetype:Hebrew Root
#deck:Biblical Hebrew::Root Deck
#columns:Front	Back	Frequency	Tags
#tags column:4
יעץ	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">יָעַץ</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">he has planned</td><td style="text-align:right;padding:2px 8px">42</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">he consulted</td><td style="text-align:right;padding:2px 8px">22</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">they may consult together</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">עֵצָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">advice</td><td style="text-align:right;padding:2px 8px">89</td></tr><tr><td style="direction:rtl;padding:2px 8px">מוֹעֵצָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">purpose</td><td style="text-align:right;padding:2px 8px">7</td></tr></table>	177	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:Stem:Hithpael Hebrew:POS:Nominal Hebrew:Freq:100plus
שחה	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שָׁחָה</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">lie down</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">you must bow down</td><td style="text-align:right;padding:2px 8px">39</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Haphel</td><td style="padding:2px 8px;font-style:italic">he bowed down</td><td style="text-align:right;padding:2px 8px">130</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">שְׁחִית</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">pit-fall</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="direction:rtl;padding:2px 8px">שְׁחוּת</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">pit</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	175	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hithpael Hebrew:Stem:Haphel Hebrew:POS:Nominal Hebrew:Freq:100plus
שקל	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שָׁקַל</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">he weighed out</td><td style="text-align:right;padding:2px 8px">15</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it was weighed out</td><td style="text-align:right;padding:2px 8px">3</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">שֶׁקֶל</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">weight</td><td style="text-align:right;padding:2px 8px">88</td></tr><tr><td style="direction:rtl;padding:2px 8px">מִשְׁקָל</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">weight</td><td style="text-align:right;padding:2px 8px">49</td></tr><tr><td style="direction:rtl;padding:2px 8px">אֶשְׁקְלוֹנִי</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">Ashkelonite</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="direction:rtl;padding:2px 8px">מִשְׁקוֹל</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">weight</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	173	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:POS:Nominal Hebrew:Freq:100plus
קהל	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">קָהַל</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">they assembled</td><td style="text-align:right;padding:2px 8px">19</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">he called together</td><td style="text-align:right;padding:2px 8px">20</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">קָהָל</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">assemblage</td><td style="text-align:right;padding:2px 8px">123</td></tr><tr><td style="direction:rtl;padding:2px 8px">קֹהֶלֶת</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">assembler</td><td style="text-align:right;padding:2px 8px">7</td></tr><tr><td style="direction:rtl;padding:2px 8px">קְהִלָּה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">assemblage</td><td style="text-align:right;padding:2px 8px">2</td></tr></table>	173	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Niphal Hebrew:Stem:Hiphil Hebrew:POS:Nominal Hebrew:Freq:100plus
נוח	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">נוּחַ</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">it will rest</td><td style="text-align:right;padding:2px 8px">30</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">he left</td><td style="text-align:right;padding:2px 8px">75</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hophal</td><td style="padding:2px 8px;font-style:italic">it has been given rest</td><td style="text-align:right;padding:2px 8px">5</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">מָנוֹחַ</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">quiet</td><td style="text-align:right;padding:2px 8px">6</td></tr><tr><td style="direction:rtl;padding:2px 8px">הֲנָחָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">permission of rest</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	172	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hiphil Hebrew:Stem:Hophal Hebrew:POS:Nominal Hebrew:Freq:100plus
פלל	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">פָּלַל</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">I judged</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">he prayed</td><td style="text-align:right;padding:2px 8px">78</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">תְּפִלָּה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">intercession</td><td style="text-align:right;padding:2px 8px">77</td></tr><tr><td style="direction:rtl;padding:2px 8px">פָּלִיל</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">magistrate</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="direction:rtl;padding:2px 8px">פְּלִילָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">justice</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="direction:rtl;padding:2px 8px">פְּלִילִי</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">judicial</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="direction:rtl;padding:2px 8px">פְּלִילִיָּה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">judicature</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	171	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Piel Hebrew:Stem:Hithpael Hebrew:POS:Nominal Hebrew:Freq:100plus
בכר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">בָּכַר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">like/ a [woman] bearing a first child</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">treat as firstborn</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Pual</td><td style="padding:2px 8px;font-style:italic">it will be born a firstling</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">בְּכוֹר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">first-born</td><td style="text-align:right;padding:2px 8px">122</td></tr><tr><td style="direction:rtl;padding:2px 8px">בִּכּוּר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">first-fruits</td><td style="text-align:right;padding:2px 8px">17</td></tr><tr><td style="direction:rtl;padding:2px 8px">בְּכִירָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">eldest</td><td style="text-align:right;padding:2px 8px">6</td></tr><tr><td style="direction:rtl;padding:2px 8px">בִּכּוּרָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">early fig</td><td style="text-align:right;padding:2px 8px">4</td></tr><tr><td style="direction:rtl;padding:2px 8px">בֶּכֶר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">camel</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="direction:rtl;padding:2px 8px">בִּכְרָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">young she-camel</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="direction:rtl;padding:2px 8px">בַּכְרִי</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">Bakrite</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	171	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Hiphil Hebrew:Stem:Piel Hebrew:Stem:Pual Hebrew:POS:Nominal Hebrew:Freq:100plus
עזז	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">עָזַז</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">it prevailed</td><td style="text-align:right;padding:2px 8px">8</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">she has made firm</td><td style="text-align:right;padding:2px 8px">2</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">עֵז</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">she-goat</td><td style="text-align:right;padding:2px 8px">74</td></tr><tr><td style="direction:rtl;padding:2px 8px">עַז</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">strong</td><td style="text-align:right;padding:2px 8px">23</td></tr><tr><td style="direction:rtl;padding:2px 8px">עַזָּה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">Azzah</td><td style="text-align:right;padding:2px 8px">21</td></tr><tr><td style="direction:rtl;padding:2px 8px">עֲזָאזֵל</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">goat of departure</td><td style="text-align:right;padding:2px 8px">4</td></tr><tr><td style="direction:rtl;padding:2px 8px">עֱזוּז</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">forcibleness</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="direction:rtl;padding:2px 8px">עַזָּתִי</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">Azzathite</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="direction:rtl;padding:2px 8px">עִזּוּז</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">forcible</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	169	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hiphil Hebrew:POS:Nominal Hebrew:Freq:100plus
דור	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">דּוֹר</div><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">דָּר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">age</td><td style="text-align:right;padding:2px 8px">2</td></tr></table>	169	Hebrew:Root Hebrew:POS:Nominal Hebrew:Freq:100plus
שרף	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שָׂרַף</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">[was] fitted out</td><td style="text-align:right;padding:2px 8px">83</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it will be burned</td><td style="text-align:right;padding:2px 8px">14</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Pual</td><td style="padding:2px 8px;font-style:italic">it had been burned</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">שְׂרֵפָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">cremation</td><td style="text-align:right;padding:2px 8px">13</td></tr><tr><td style="direction:rtl;padding:2px 8px">רִצְפָּה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">stone</td><td style="text-align:right;padding:2px 8px">8</td></tr><tr><td style="direction:rtl;padding:2px 8px">רֶשֶׁף</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">live coal</td><td style="text-align:right;padding:2px 8px">7</td></tr><tr><td style="direction:rtl;padding:2px 8px">שָׂרָף</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">burning</td><td style="text-align:right;padding:2px 8px">7</td></tr><tr><td style="direction:rtl;padding:2px 8px">מִשְׂרָפָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">combustion</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="direction:rtl;padding:2px 8px">מַרְצֶפֶת</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">pavement</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="direction:rtl;padding:2px 8px">רֶצֶף</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">a red-hot stone</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	169	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:Stem:Pual Hebrew:POS:Nominal Hebrew:Freq:100plus
כבד	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">כָּבַד</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">it was heavy</td><td style="text-align:right;padding:2px 8px">22</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">honored</td><td style="text-align:right;padding:2px 8px">26</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">he made heavy</td><td style="text-align:right;padding:2px 8px">16</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">honor</td><td style="text-align:right;padding:2px 8px">20</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Pual</td><td style="padding:2px 8px;font-style:italic">he is honored</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">make yourself numerous</td><td style="text-align:right;padding:2px 8px">3</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">כָּבֵד</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">heavy</td><td style="text-align:right;padding:2px 8px">33</td></tr><tr><td style="direction:rtl;padding:2px 8px">כָּבֵד</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">liver</td><td style="text-align:right;padding:2px 8px">14</td></tr><tr><td style="direction:rtl;padding:2px 8px">כֹּבֶד</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">weight</td><td style="text-align:right;padding:2px 8px">4</td></tr><tr><td style="direction:rtl;padding:2px 8px">כְּבוּדָּה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">weightiness</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="direction:rtl;padding:2px 8px">כְּבֵדֻת</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">difficulty</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	168	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:Stem:Hiphil Hebrew:Stem:Piel Hebrew:Stem:Pual Hebrew:Stem:Hithpael Hebrew:POS:Nominal Hebrew:Freq:100plus
צר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">צַר</div><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">צָרָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">tightness</td><td style="text-align:right;padding:2px 8px">73</td></tr><tr><td style="direction:rtl;padding:2px 8px">מֵצַר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">tight</td><td style="text-align:right;padding:2px 8px">3</td></tr></table>	168	Hebrew:Root Hebrew:POS:Nominal Hebrew:Freq:100plus
פה	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">פֹּה</div><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">פֵּאָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">mouth</td><td style="text-align:right;padding:2px 8px">86</td></tr></table>	168	Hebrew:Root Hebrew:POS:Nominal Hebrew:Freq:100plus
עור	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">עוּר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it is made bare</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">he made blind</td><td style="text-align:right;padding:2px 8px">5</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">עוֹר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">skin</td><td style="text-align:right;padding:2px 8px">99</td></tr><tr><td style="direction:rtl;padding:2px 8px">מְעָרָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">cavern</td><td style="text-align:right;padding:2px 8px">39</td></tr><tr><td style="direction:rtl;padding:2px 8px">עִוֵּר</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">blind</td><td style="text-align:right;padding:2px 8px">18</td></tr><tr><td style="direction:rtl;padding:2px 8px">מַטָּה</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">downward</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="direction:rtl;padding:2px 8px">מָעוֹר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">nakedness</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	167	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Niphal Hebrew:Stem:Piel Hebrew:POS:Nominal Hebrew:Freq:100plus
נוס	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">נוּס</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">they fled</td><td style="text-align:right;padding:2px 8px">149</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">he made to flee</td><td style="text-align:right;padding:2px 8px">4</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">it will drive</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">מָנוֹס</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">retreat</td><td style="text-align:right;padding:2px 8px">8</td></tr></table>	167	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hiphil Hebrew:Stem:Piel Hebrew:POS:Nominal Hebrew:Freq:100plus
