root_strongs,count,gloss,lemma
H3381,2,he made to flow down,יָרַד
H0553,2,may it show strength,יֶֽאֱמָץ
H3847,2,will clothe,לָבַשׁ
H5106,2,frustrates,הֵנִיא
H5117,2,they leave,נָחָֽה
H3198,2,he rebuked,הֹכִיחַ
H3766,2,made bow down,כָּרַע
H3665,2,will subdue,הִכְנִיעַ
H2449,1,making wise,חָכַם
H2388,1,take hold of,חָזַק
H2363,1,want to make haste,אָחִישָׁה
H7493,1,have made quake,רָעָשָׁה
H2814,1,was silent,מַחְשִׁים
H2505,1,flatters,חָלַק
H7392,1,have made ride,רָכַב
H7324,1,draw out,הָרִיק
H7323,1,will cause to run,רָץ
H3001,1,dried up,יָבֵשׁ
H7300,1,am restless,תָּרִיד
H7200,1,have made see,רָאָה
H7623,1,[who] calms,מַשְׁבִּיחַ
H5130,1,spread abroad,הֵנִיף
H1980,1,[one who] led,הָלַךְ
H7685,1,increase,יִשְׂגֶּה
H8428,1,pained,הִתְווּ
H8327,1,it took root,מַשְׁרִישׁ
H0503,1,[will be] producing thousands,מַאֲלִיפוֹת
H8252,1,give quiet,הַשְׁקִט
H0748,1,have made long,הֶאֱרִיךְ
H8159,1,smear,שָׁעָה
H0887,1,stink,הִבְאִישׁ
H8074,1,have devastated,יִשֹּׁם
H8055,1,have made to rejoice,שָׂמַח
H1082,1,let me be cheerful,אַבְלִיגָה
H1361,1,is making high,גָּבַהּ
H7980,1,have power,שָׁלַט
H7949,1,it snow,תַּשְׁלֵג
H1396,1,will make strong,גָבַר
H7925,1,[who] rise early,נַשְׁכִּימָה
H1869,1,leads,דָּרַךְ
H7811,1,make swim,אַשְׂחֶה
H7185,1,harden,הִקְשָׁה
H7688,1,looks,הִשְׁגִּיחַ
H1949,1,i am distraught,אָהִֽימָה
H7107,1,they provoked to anger,קָצַף
H7160,1,having horns,קָרַן
H4985,1,made sweet,תַּמְתִּיק
H3932,1,mock,לָעֲגָה
H4131,1,drop,תָּמוּט
H5753,1,have done wrong,הֶעֱוָה
H4167,1,mock,יָמִיקוּ
H4191,1,he caused to die,מֵת
H5532,1,know intimately,הִסְכַּנְתִּי
H4571,1,make to shake,מָעֲדוּ
H4591,1,made few,יִמְעַט
H5425,1,[is] setting free,יַתֵּר
H7126,1,will bring near,קָרַב
H5381,1,may he overtake [it],הִשִּׂיגוּ
H5380,1,makes blow,יַשֵּׁב
H5377,1,will deceive,הִשִּׁיא
H5050,1,lightens,נָגַֽהּ
H5064,1,he has poured out,נִגָּרוֹת
H5080,1,thrust [him] down,הַדִּיחַ
H5258,1,will pour out,נָסַךְ
H5234,1,[one who] recognizes,הִכִּיר
H5956,1,you hide?,הֶעְלִים
H6191,1,make crafty,עָרוֹם
H6238,1,will become rich,הַעֲשִׁיר
H3835,1,will become white,לְבֵּן
H7114,1,have made short,קָצַר
H5128,1,shake,אָנִיעָה
H3331,1,i will spread as a bed,אַצִּיעָה
H3384,1,teaches,יָרָה
H3423,1,dispossessed,יָרַשׁ
H6775,1,harnesses,מְצֻמֶּדֶת
H3474,1,make straight,יָשַׁר
H3498,1,leave over,הוֹתִיר
H6670,1,make shine,הַצְהִיל
H6663,1,vindicate,הַצְדִּיק
H6536,1,having hooves,מַפְרֶסֶת
H6524,1,will flourish,פָּרַח
H6509,1,he made fruitful,פְּרוּ
H3707,1,they provoked to anger,הִכְעִיס
H6381,1,has made wonderful,הִפְלִיא
H6362,1,make a separation,פָטַר
H3803,1,will surround,כִּתְּרוּ
H0006,1,you will destroy,אָבַד
