lemma,strongs,gloss,clause,book,chapter,verse,word
παραμύθιον,G3890,"comfort, consolation, encouragement",2,Php,2,1,παραμύθιον
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,Act,2,42,"κοινωνίᾳ,"
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,Rom,15,26,κοινωνίαν
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,1Co,1,9,κοινωνίαν
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,1Co,10,16,κοινωνία
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,2Co,6,14,κοινωνία
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,2Co,8,4,κοινωνίαν
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,2Co,9,13,κοινωνίας
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,Gal,2,9,"κοινωνίας,"
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,Php,1,5,κοινωνίᾳ
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,Php,2,1,κοινωνία
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,Php,3,10,κοινωνίαν
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,Phm,1,6,κοινωνία
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,Heb,13,16,κοινωνίας
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,1Jn,1,3,κοινωνίαν
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,1Jn,1,6,κοινωνίαν
κοινωνία,G2842,"fellowship, participation, sharing, communion",3,1Jn,1,7,κοινωνίαν
σπλάγχνα,G4698,"bowels, tender mercies, deep compassion (pl)",4,Luk,1,78,σπλάγχνα
σπλάγχνα,G4698,"bowels, tender mercies, deep compassion (pl)",4,Act,1,18,σπλάγχνα
σπλάγχνα,G4698,"bowels, tender mercies, deep compassion (pl)",4,2Co,6,12,σπλάγχνοις
σπλάγχνα,G4698,"bowels, tender mercies, deep compassion (pl)",4,2Co,7,15,σπλάγχνα
σπλάγχνα,G4698,"bowels, tender mercies, deep compassion (pl)",4,Php,1,8,σπλάγχνοις
σπλάγχνα,G4698,"bowels, tender mercies, deep compassion (pl)",4,Php,2,1,σπλάγχνα
σπλάγχνα,G4698,"bowels, tender mercies, deep compassion (pl)",4,Col,3,12,σπλάγχνα
σπλάγχνα,G4698,"bowels, tender mercies, deep compassion (pl)",4,Phm,1,7,σπλάγχνα
σπλάγχνα,G4698,"bowels, tender mercies, deep compassion (pl)",4,Phm,1,12,σπλάγχνα
σπλάγχνα,G4698,"bowels, tender mercies, deep compassion (pl)",4,Phm,1,20,σπλάγχνα
σπλάγχνα,G4698,"bowels, tender mercies, deep compassion (pl)",4,1Jn,3,17,σπλάγχνα
οἰκτιρμός,G3628,"mercy, compassion, pity (often plural)",4,Rom,12,1,οἰκτιρμῶν
οἰκτιρμός,G3628,"mercy, compassion, pity (often plural)",4,2Co,1,3,οἰκτιρμῶν
οἰκτιρμός,G3628,"mercy, compassion, pity (often plural)",4,Php,2,1,"οἰκτιρμοί,"
οἰκτιρμός,G3628,"mercy, compassion, pity (often plural)",4,Col,3,12,"οἰκτιρμοῦ,"
οἰκτιρμός,G3628,"mercy, compassion, pity (often plural)",4,Heb,10,28,οἰκτιρμῶν
