Verse,Strong,Lemma,Gloss,Type,Person,Torah Objects
22,H5341,נָצַר,I.observe,qatal,first,Edut
23,H3427,יָשַׁב,they.sit,qatal,third,
23,H1696,דָבַר,they.speak.together,qatal,third,
23,H7878,שִׂיחַ,he.meditates,yiqtol,third,
25,H1692,דָּבַק,it.clings,qatal,third,
26,H5608,סָפַר,I.recounted,qatal,first,
26,H6030,עָנָה,you,wayyiqtol,second,
27,H7878,שִׂיחַ,I.will.meditate,cohortative,first,
27,H6381,פָּלָא,wonders,participle active,,
28,H1811,דָּלַף,it.weeps,qatal,third,
30,H977,בָּחַר,I.have.chosen,qatal,first,
30,H7737a,שָׁוָה,I.have.placed,qatal,first,Mishpat
31,H1692,דָּבַק,I.have.clung,qatal,first,
32,H7323,רוּץ,I.run,yiqtol,first,
32,H7337,רָחַב,you.enlarge,yiqtol,second,
33,H5341,נָצַר,that,yiqtol,first,
34,H5341,נָצַר,that.I.may.observe,cohortative,first,Torah
34,H8104,שָׁמַר,so,yiqtol,first,
35,H2654,חָפֵץ,I.delight,qatal,first,
37,H7200,רָאָה,looking.at,infinitive construct,,
39,H3025,יָגֹר,I.am.afraid.of,qatal,first,
40,H8373,תָּאַב,I.long,qatal,first,
41,H935,בּוֹא,may,yiqtol,third,
42,H6030,עָנָה,that.I.may.answer,yiqtol,first,Davar
42,H2778,חָרַף,the.[one,participle active,,
42,H982,בָּטַח,I.trust,qatal,first,
43,H3176,יָחַל,I.wait,qatal,first,
44,H8104,שָׁמַר,I.will.keep,cohortative,first,Torah
45,H1980,הָלַךְ,I.will.walk.about,cohortative,first,
45,H1875,דָּרַשׁ,I.have.sought,qatal,first,Piqqudim
46,H1696,דָבַר,I.will.speak,cohortative,first,
46,H954,בּוֹשׁ,I.will.be.ashamed,yiqtol,first,
47,H8173a,שָׁעַע,I.will.delight.myself,yiqtol,first,
47,H157,אָהֵב,I.love,qatal,first,Mitzvah
48,H5375,נָשָׂא,I.will.lift.up,yiqtol,first,
48,H157,אָהֵב,I.love,qatal,first,Mitzvah
48,H7878,שִׂיחַ,I.will.meditate,cohortative,first,
49,H3176,יָחַל,you,qatal,second,
50,H2421,חָיָה,it,qatal,third,
51,H3887b,לִיץ,they,qatal,third,
51,H5186,נָטָה,I.have.turned.aside,qatal,first,
52,H2142,זָכַר,I.remember,qatal,first,Mishpat
52,H5162,נָחַם,I.have.comforted.myself,wayyiqtol,first,
53,H270,אָחַז,it,qatal,third,
53,H5800,עָזַב,[who].forsake,participle active,,Torah
54,H1961,הָיָה,they.have.been,qatal,third,
55,H2142,זָכַר,I.have.remembered,qatal,first,
55,H8104,שָׁמַר,I,wayyiqtol,first,Torah
56,H1961,הָיָה,it.has.belonged,qatal,third,
56,H5341,נָצַר,I.have.observed,qatal,first,Piqqudim
57,H559,אָמַר,I.have.said,qatal,first,
57,H8104,שָׁמַר,keep,infinitive construct,,Davar
58,H2470a,חָלָה,I.have.entreated,qatal,first,
59,H2803,חָשַׁב,I.have.thought.about,qatal,first,
59,H7725,שׁוּב,I,wayyiqtol,first,
60,H2363,חוּשׁ,I.have.made.haste,qatal,first,
60,H4102,מָהַהּ,I.have.delayed,qatal,first,
60,H8104,שָׁמַר,keep,infinitive construct,,Mitzvah
61,H5749,עוּד,they,qatal,third,
61,H7911,שָׁכַח,I.have.forgotten,qatal,first,Torah
62,H6965,קוּם,I.arise,yiqtol,first,
62,H3034,יָדָה,give.thanks,infinitive construct,,
63,H3372,יָרֵא,they,qatal,third,
63,H8104,שָׁמַר,[those.who].keep,participle active,,Piqqudim
64,H4390,מָלֵא,it.is.full,qatal,third,
65,H6213,עָשָׂה,you.have.done,qatal,second,
66,H539,אָמַן,I.trust,qatal,first,
67,H6031,עָנָה,I.was.afflicted,yiqtol,first,
67,H7683,שָׁגַג,[was].going.astray,participle active,,
67,H8104,שָׁמַר,I.keep,qatal,first,Imrah
68,H3190,יטב,doing.good,participle active,,
69,H2950,טָפַל,they.have.smeared,qatal,third,
69,H5341,נָצַר,I.observe,yiqtol,first,Piqqudim
70,H2954,טָפַשׁ,it.is.insensitive,qatal,third,
70,H8173a,שָׁעַע,I.delight,qatal,first,Torah
71,H2895,טוֹב,it.was.good,qatal,third,
71,H6031,עָנָה,I.was.afflicted,qatal,first,
71,H3925,לָמַד,I.may.learn,yiqtol,first,Choq
73,H6213,עָשָׂה,they,qatal,third,
73,H3559,כּוּן,they,yiqtol,third,
73,H3925,לָמַד,that.I.may.learn,cohortative,first,Mitzvah
74,H7200,רָאָה,may,yiqtol,third,
74,H8055,שָׂמַח,may.they.rejoice,yiqtol,third,
74,H3176,יָחַל,I.have.waited,qatal,first,
75,H3045,יָדַע,I.know,qatal,first,
75,H6031,עָנָה,you,qatal,second,
76,H5162,נָחַם,comfort,infinitive construct,,
77,H935,בּוֹא,let,yiqtol,third,
77,H2421,חָיָה,that.I.may.live,yiqtol,first,
78,H954,בּוֹשׁ,let.them.be.ashamed,yiqtol,third,
78,H5791,עָוַת,they,qatal,third,
78,H7878,שִׂיחַ,I.will.meditate,yiqtol,first,
79,H7725,שׁוּב,let.them.turn,yiqtol,third,
79,H3045,יָדַע,[those.who].know,participle active,,Edut
80,H954,בּוֹשׁ,I.may.be.ashamed,yiqtol,first,
81,H3615,כָּלָה,it.is.exhausted,qatal,third,
81,H3176,יָחַל,I.wait,qatal,first,
82,H3615,כָּלָה,they.are.exhausted,qatal,third,
82,H559,אָמַר,,infinitive construct,,
82,H5162,נָחַם,will,yiqtol,second,
83,H1961,הָיָה,I.have.become,qatal,first,
83,H7911,שָׁכַח,I.have.forgotten,qatal,first,Choq
84,H6213,עָשָׂה,will.you.do,yiqtol,second,Mishpat
84,H7291,רָדַף,[those,participle active,,
85,H3738,כָּרָה,they.have.dug,qatal,third,
86,H7291,רָדַף,they,qatal,third,
87,H3615,כָּלָה,they,qatal,third,
87,H5800,עָזַב,I.have.forsaken,qatal,first,Piqqudim
88,H8104,שָׁמַר,I.will.keep,cohortative,first,Edut
89,H5324,נָצַב,[is].standing,participle active,,Davar
90,H3559,כּוּן,you.have.established,qatal,second,
90,H5975,עָמַד,it.endures,wayyiqtol,third,
91,H5975,עָמַד,they.stand.forth,qatal,third,
92,H6,אָבַד,I.perished,qatal,first,
93,H7911,שָׁכַח,I.will.forget,yiqtol,first,Piqqudim
93,H2421,חָיָה,you,qatal,second,
94,H1875,דָּרַשׁ,I.have.sought,qatal,first,Piqqudim
95,H6960,קָוָה,they.have.waited,qatal,third,
95,H6,אָבַד,destroy,infinitive construct,,
95,H995,בִּין,I.will.consider.carefully,yiqtol,first,Edut
96,H7200,רָאָה,I.have.seen,qatal,first,
97,H157,אָהֵב,I.love,qatal,first,Torah
98,H341,אָיַב,than,participle active,,
98,H2449,חָכַם,it,yiqtol,third,
99,H3925,לָמַד,teachers,participle active,,
99,H7919,שָׂכַל,I.have.insight,qatal,first,
100,H995,בִּין,I.gain.understanding,yiqtol,first,
100,H5341,נָצַר,I.have.observed,qatal,first,Piqqudim
101,H3607,כָּלָא,I.have.restrained,qatal,first,
101,H8104,שָׁמַר,I.may.keep,yiqtol,first,Davar
102,H5493,סוּר,I.have.turned.aside,qatal,first,
102,H3384b,יָרָה,you,qatal,second,
103,H4452,מָלַץ,they.are.smooth,qatal,third,Imrah
104,H995,בִּין,I.gain.understanding,yiqtol,first,
104,H8130,שָׂנֵא,I.hate,qatal,first,
106,H7650,שָׁבַע,I.have.sworn.an.oath,qatal,first,
106,H6965,קוּם,I,wayyiqtol,first,
106,H8104,שָׁמַר,keep,infinitive construct,,Mishpat
107,H6031,עָנָה,I.have.been.afflicted,qatal,first,
109,H7911,שָׁכַח,I.forget,qatal,first,Torah
110,H5414,נָתַן,they.have.set,qatal,third,
110,H8582,תָּעָה,I.have.gone.astray,qatal,first,
111,H5157,נָחַל,I.have.inherited,qatal,first,Edut
112,H5186,נָטָה,I.have.turned,qatal,first,
112,H6213,עָשָׂה,do,infinitive construct,,Choq
113,H8130,שָׂנֵא,I.hate,qatal,first,
113,H157,אָהֵב,I.love,qatal,first,Torah
114,H3176,יָחַל,I.wait,qatal,first,
115,H7489,רָעַע,O.evil-doers,participle active,,
115,H5341,נָצַר,that.I.may.observe,cohortative,first,Mitzvah
116,H2421,חָיָה,that.I.may.live,yiqtol,first,
117,H3467,יָשַׁע,that.I.may.be.saved,cohortative,first,
117,H8159,שָׁעָה,so.that.I.may.have.regard,yiqtol,first,
118,H5541,סָלָה,you.reject,qatal,second,
118,H7686,שָׁגָה,[those.who].go.astray,participle active,,
119,H7673,שָׁבַת,you.cause.to.cease,qatal,second,
119,H157,אָהֵב,I.love,qatal,first,Edut
120,H5568,סָמַר,it.bristles.up,qatal,third,
120,H3372,יָרֵא,I.am.afraid,qatal,first,
121,H6213,עָשָׂה,I.have.done,qatal,first,Mishpat
121,H5117,נוח,you,yiqtol,second,
121,H6231,עָשַׁק,[those,participle active,,
123,H3615,כָּלָה,they.are.exhausted,qatal,third,
125,H3045,יָדַע,that.I.may.know,cohortative,first,Edut
126,H6213,עָשָׂה,act,infinitive construct,,
126,H6565,פָּרַר,people.have.broken,qatal,third,Torah
127,H157,אָהֵב,I.love,qatal,first,Mitzvah
128,H3474,יָשַׁר,I.approve,qatal,first,Piqqudim
128,H8130,שָׂנֵא,I.hate,qatal,first,
129,H5341,נָצַר,it,qatal,third,
130,H215,אוֹר,it.gives.light,yiqtol,third,
130,H995,בִּין,[it.is].giving.understanding.to,participle active,,
131,H6473,פָּעַר,I.opened.wide,qatal,first,
131,H7602,שָׁאַף,I,wayyiqtol,first,
131,H2968,יָאַב,I.longed,qatal,first,
132,H157,אָהֵב,[those.who].love,participle active,,
134,H8104,שָׁמַר,that.I.may.keep,cohortative,first,Piqqudim
136,H3381,יָרַד,they.have.gone.down,qatal,third,
136,H8104,שָׁמַר,people.keep,qatal,third,Torah
138,H6680,צָוָה,you.commanded,qatal,second,Edut
139,H6789,צָמַת,it,qatal,third,
139,H7911,שָׁכַח,they.have.forgotten,qatal,third,Davar
140,H6884,צָרַף,[is].refined,participle passive,,Imrah
140,H157,אָהֵב,he,qatal,third,
141,H959,בָּזָה,despised,participle active,,
141,H7911,שָׁכַח,I.have.forgotten,qatal,first,Piqqudim
143,H4672,מָצָא,they,qatal,third,
144,H2421,חָיָה,that.I.may.live,yiqtol,first,
145,H7121,קָרָא,I.call.out,qatal,first,
145,H5341,נָצַר,I.will.observe,cohortative,first,Choq
146,H7121,קָרָא,I,qatal,first,
146,H8104,שָׁמַר,I.will.keep,cohortative,first,Edut
147,H6923,קָדַם,I.am.early,qatal,first,
147,H7768,שָׁוַע,I,wayyiqtol,first,
147,H3176,יָחַל,I.wait,qatal,first,
148,H6923,קָדַם,they.anticipate,qatal,third,
148,H7878,שִׂיחַ,meditate,infinitive construct,,
150,H7126,קָרַב,they.draw.near,qatal,third,
150,H7291,רָדַף,[those.who].pursue,participle active,,
150,H7368,רָחַק,they.are.distant,qatal,third,
152,H3045,יָדַע,I.have.known,qatal,first,
152,H3245,יָסַד,you,qatal,second,
153,H7911,שָׁכַח,I.have.forgotten,qatal,first,Torah
155,H1875,דָּרַשׁ,they.have.sought,qatal,third,Choq
157,H7291,רָדַף,[those,participle active,,
157,H5186,נָטָה,I.have.turned.aside,qatal,first,
158,H7200,רָאָה,I.see,qatal,first,
158,H898,בָּגַד,[those.who].act.treacherously,participle active,,
158,H6962,קוּט,I,wayyiqtol,first,
158,H8104,שָׁמַר,they.have.kept,qatal,third,Imrah
159,H157,אָהֵב,I.love,qatal,first,Piqqudim
161,H7291,רָדַף,they,qatal,third,
161,H6342,פָּחַד,it.is.in.dread,qatal,third,
162,H7797,שׂוּשׂ,[am].rejoicing,participle active,,
162,H4672,מָצָא,[one.who].brings.out,participle active,,
163,H8130,שָׂנֵא,I.hate,qatal,first,
163,H8581,תַּעָב,I.abhor,cohortative,first,
163,H157,אָהֵב,I.love,qatal,first,Torah
164,H1984a,הָלַל,I,qatal,first,
165,H157,אָהֵב,[those.who].love,participle active,,Torah
166,H7663,שָׂבַר,I.hope,qatal,first,
166,H6213,עָשָׂה,I.do,qatal,first,Mitzvah
167,H8104,שָׁמַר,it.keeps,qatal,third,Edut
167,H157,אָהֵב,I,wayyiqtol,first,
168,H8104,שָׁמַר,I.keep,qatal,first,Piqqudim|Edut
169,H7126,קָרַב,may.it.draw.near,yiqtol,third,
170,H935,בּוֹא,may.it.come,yiqtol,third,
171,H5042,נָבַע,may.they.pour.forth,yiqtol,third,
171,H3925,לָמַד,you,yiqtol,second,Choq
172,H6031b,עָנָה,may.it.sing,yiqtol,third,Imrah
173,H1961,הָיָה,may.it.be,yiqtol,third,
173,H5826,עָזַר,help,infinitive construct,,
173,H977,בָּחַר,I.have.chosen,qatal,first,Piqqudim
174,H8373,תָּאַב,I.long,qatal,first,
175,H2421,חָיָה,may.it.live,yiqtol,third,
175,H5826,עָזַר,may,yiqtol,third,
176,H8582,תָּעָה,I.have.gone.astray,qatal,first,
176,H6,אָבַד,lost,participle active,,
176,H7911,שָׁכַח,I.have.forgotten,qatal,first,Mitzvah
